Position: 54.36965633 18.60708921
ac: 0.01420103 0.14278507 0.06269026
ac: 3.1885505E-4 0.13452244 0.071967125
ac: -0.0059220046 0.13359642 0.11099005
ac: 0.0033854097 0.12588024 0.068367004
ac: -4.7777593E-4 0.1468544 0.104856014
ac: -0.018261567 0.12714481 0.07359314
ac: 0.009261087 0.13376808 0.06633854
ac: -0.004713729 0.1318903 0.07183695
ac: 0.025168702 0.12677956 0.08861256
ac: 0.0031352341 0.1393156 0.059403896
ac: 0.008705571 0.13408852 0.06566191
ac: -0.007121086 0.12601662 0.061980724
ac: 0.0135940015 0.14140034 0.07132244
ac: 0.015398204 0.14079857 0.050946236
ac: 0.00789389 0.11940861 0.077003956
ac: 0.0015444607 0.13791752 0.06521654
ac: 0.0031365454 0.13181114 0.06063509
ac: -0.011087209 0.12055969 0.06455183
ac: -0.0055660307 0.13389587 0.08269453
Position: 54.36955346 18.60686685
ac: 0.00769341 0.13496113 0.062623024
ac: 0.004480213 0.14006424 0.08349371
ac: 0.0051668882 0.1486826 0.07879639
ac: 0.004899621 0.14071465 0.07075167
ac: 0.0026655644 0.13349438 0.058258057
ac: 0.005979955 0.13397694 0.06451845
ac: 0.014321223 0.14818287 0.053442955
ac: -6.8579614E-4 0.1340599 0.096021175
ac: 0.024174288 0.14712238 0.09084892
ac: -0.008534744 0.14495182 0.06467581
ac: 0.012376815 0.14491653 0.09413099
ac: -0.008922875 0.1376791 0.061328888
ac: -2.1350384E-4 0.1401596 0.070064545
ac: -0.012133285 0.15204716 0.0654459
ac: -0.012748718 0.15666199 0.063393116
ac: -0.017153084 0.12892914 0.057209015
ac: 0.018541843 0.14472389 0.045392513
ac: 0.008579537 0.13236618 0.034823895
Position: 54.36971405 18.60717417
ac: 0.006025329 0.14995289 0.0708828
ac: 0.0017083287 0.15452766 0.06715584
ac: 0.0028982908 0.11886978 0.06907463
ac: 0.0033376962 0.13888645 0.081143856
ac: 0.0052892715 0.13594627 0.08225489
ac: -0.004055932 0.13887691 0.0894928
ac: 0.0037037581 0.13133812 0.07699251
ac: 0.02280651 0.14379025 0.052114487
ac: -0.003508523 0.14047146 0.051586628
ac: 0.0063313246 0.14592648 0.056827545
ac: 0.008215383 0.15403461 0.056717396
ac: 0.005186543 0.14020729 0.056888103
ac: -0.0017874688 0.13931751 0.08559942
ac: 0.024412125 0.14807224 0.049005985
ac: -0.007959217 0.1540699 0.05320406
ac: 0.009444624 0.14709568 0.061858177
ac: 3.1128526E-5 0.13571644 0.080438614
ac: -0.013108417 0.11794472 0.08613539
Position: 54.36980469 18.60715839
ac: -0.0048903376 0.13969612 0.07543993
ac: 0.0057543963 0.1386671 0.08291197
ac: 0.0034304857 0.13028431 0.09129763
ac: 0.014705464 0.13096333 0.06660223
ac: 0.00212349 0.13542461 0.088136196
ac: -0.003011018 0.1424284 0.078315735
ac: 0.0018869191 0.14445877 0.07542992
ac: -0.0024814457 0.1330347 0.069588184
ac: 0.004977569 0.12891674 0.08382273
ac: 0.010051876 0.14295197 0.088674545
ac: 0.01572065 0.13612652 0.05746889
ac: 0.0029601008 0.13956451 0.08889818
ac: 9.6943974E-4 0.12721443 0.081296444
ac: -0.007881761 0.14637375 0.05662775
ac: -0.006314233 0.12160778 0.046315193
ac: -0.006590843 0.132905 0.06321335
ac: -0.0038990527 0.13251686 0.07474947
ac: 0.014541298 0.12866783 0.0788393
Position: 54.36987847 18.60737493
ac: 0.009663388 0.13136005 0.07523441
ac: 0.004151061 0.15799141 0.05788088
ac: 0.016557395 0.14865589 0.051980495
ac: 0.011125788 0.14265919 0.07295418
ac: 5.002767E-4 0.12603664 0.060701847
ac: 0.0042209774 0.14485359 0.058403015
ac: 0.0053493977 0.14322948 0.05563402
ac: -0.021174312 0.1492176 0.06578779
ac: 0.0056037456 0.13244247 0.059246063
ac: -0.023470387 0.121006966 0.06237793
ac: -1.553297E-4 0.14548111 0.027254105
ac: 0.003189817 0.14772987 0.055081367
ac: -0.0030807257 0.14755154 0.038681507
ac: -0.021167368 0.15441513 0.073421955
ac: 0.0010031909 0.12822151 0.05098486
ac: -0.0018801987 0.1291542 0.0533185
ac: -0.0013068467 0.12910843 0.06301069
ac: -0.0027643591 0.12999535 0.07140398
ac: 0.013588667 0.15004349 0.08273077
Position: 54.36984421 18.60736352
ac: 0.003284067 0.13635921 0.08016634
ac: -0.0070798695 0.13528442 0.051836967
ac: -0.0035362095 0.13304329 0.08864403
ac: 0.018200114 0.13240433 0.08283138
ac: 0.00898388 0.14266872 0.06770182
ac: 0.009178892 0.11690712 0.05399418
ac: 0.018449053 0.1274252 0.06049633
ac: -0.0032544732 0.14045906 0.05293417
ac: -8.5130334E-5 0.14601803 0.089662075
ac: 0.0061564 0.11552334 0.06864977
ac: -0.025906667 0.1583147 0.04232025
ac: -0.007788539 0.12502384 0.037018776
ac: 0.008739546 0.13230038 0.073297024
ac: -0.006252855 0.13111687 0.08340311
