Position: 54.37101505 18.61400261
ac: 0.7488289 0.07745075 0.8146925
ac: 0.69728947 -0.05290842 0.20347309
ac: 0.34636897 0.055878162 -0.24125195
ac: 1.0262808 0.08388996 -0.67796373
ac: 0.37475714 0.3876047 0.31161308
ac: 0.39420074 0.3451562 -0.035381317
ac: 0.55637735 0.24662495 -0.56688404
ac: 1.0193996 0.32759953 -0.7473345
ac: 1.7619352 0.8577647 -0.98622656
ac: 1.1907668 -1.2493963 -1.3019934
ac: -1.1171207 -1.4173989 2.2807875
ac: -4.6203537 0.24284387 -2.557354
ac: 1.542598 -2.5368025 0.29164886
ac: -0.012349784 0.53702366 1.3265543
ac: 0.5230062 0.26667368 1.1055136
ac: -0.09800506 0.42638338 1.9996243
ac: -2.4295566 -1.0296156 2.924306
ac: -1.3135368 -0.72083366 -0.3065977
ac: -0.6012379 0.016976833 -1.3227234
ac: -1.444268 -1.1954087 1.9539337
ac: -1.3020726 -2.117183 -3.1060796
ac: 1.3605237 0.013250351 -4.300489
ac: -2.308075 -2.6244164 0.79945564
ac: 0.7756072 0.7670288 -1.4986191
ac: 0.18865418 0.18844962 2.3052177
ac: 2.530295 0.46203995 3.7440577
ac: 2.1908522 -0.2541628 4.5117292
ac: 1.6819044 -1.469614 1.46807
ac: 2.309801 -2.0572968 -1.8561673
ac: 0.79435706 -1.2701137 -3.1818514
ac: -0.2357837 -0.5916325 -2.4976406
ac: -0.6631778 0.1549058 -3.7294707
ac: -1.4426332 0.7188122 0.097369194
ac: -0.9965365 0.8531995 2.4164762
ac: 1.3404934 1.0966585 3.3598938
ac: -1.2751822 0.89636016 3.8800573
ac: -1.6840883 -1.4184803 4.0926437
ac: 0.54532385 -1.466025 3.3433466
ac: -1.0142577 -1.5668776 -1.6197481
ac: -0.16427791 -0.9721856 -3.7692466
ac: -0.03311813 -1.1309929 -4.7228656
ac: -0.34613955 -0.82225895 -1.2592726
ac: 1.6252568 -0.19852924 1.2027187
ac: 0.81239104 0.30657673 1.8173685
ac: 3.3744154 -1.409266 5.7364817
ac: 0.42923903 -1.7206346 2.0064497
ac: 1.3701723 0.13944769 -2.394858
ac: -0.99688756 0.04530549 -2.903668
ac: -0.3825515 0.13738203 -3.9103312
ac: -0.42406186 0.39525938 -2.3076816
ac: -0.35292557 1.250184 1.0535364
ac: 0.9234213 1.8084521 2.3691158
ac: -0.7538196 1.6421561 2.939519
ac: -1.0024593 -0.8114853 1.7909994
ac: 1.5013278 -1.2494903 1.0529156
ac: -0.7877105 -1.2626369 -0.039143562
ac: -0.91326284 0.05637908 -3.0273795
ac: -0.21139455 0.40504932 -2.3387504
ac: -0.94000435 0.54384255 -0.8703947
ac: 3.4508672 0.5454395 3.49374
ac: -1.0519967 1.7575026 0.76466656
ac: 1.2234614 -1.4502118 4.1810904
ac: 1.4086592 -2.6374612 1.5018959
ac: 1.9702644 -0.93659186 -2.8644056
ac: -0.47709092 0.024620771 -2.6485038
ac: -0.9300368 0.82569027 -3.7631454
ac: -0.7938531 4.057769 -0.51662445
ac: -1.867599 2.825534 5.5659685
ac: 0.11048776 0.8541653 1.4408617
ac: -1.9413362 -0.39134836 1.2223797
ac: -0.52345026 -2.2827697 2.4533825
ac: -0.86604184 -2.1361604 0.851758
ac: -0.27789012 -1.6590555 -1.3741355
ac: 0.24638146 -0.6712165 -3.1471076
ac: 0.98831797 -0.13467073 -3.3276896
ac: 0.21984279 0.4302144 -2.8484821
ac: 2.5762687 0.09467363 0.18687344
ac: 3.4160967 1.2703052 3.7954893
ac: 1.4244353 -1.5976532 6.2066717
ac: 0.50401354 -1.7031865 1.8437576
ac: 0.7625408 0.15430284 -3.3378515
ac: -1.809762 0.47072792 -2.5509233
ac: -1.9935648 1.1636539 -3.6591048
Position: 54.37101505 18.61400261
ac: -2.1743784 2.0212116 -0.5518284
ac: -1.7593684 2.04552 1.9486837
ac: -0.06492723 2.1416876 2.54216
ac: 0.24135274 1.5436583 3.5030003
